iter	Passed	Remaining
890	3938	481
891	3942	477
892	3945	472
893	3948	468
894	3951	463
895	3954	458
896	3957	454
897	3960	449
898	3963	445
899	3966	440
900	3969	436
901	3972	431
902	3976	427
903	3978	422
904	3981	417
905	3984	413
906	3988	408
907	3991	404
908	3994	399
909	3997	395
910	4000	390
911	4003	386
912	4007	381
913	4010	377
914	4013	372
915	4016	368
916	4019	363
917	4022	359
918	4025	354
919	4028	350
920	4032	345
921	4035	341
922	4038	336
923	4041	332
924	4045	327
925	4048	323
926	4051	319
927	4054	314
928	4057	310
929	4060	305
930	4063	301
931	4066	296
932	4070	292
933	4073	287
934	4077	283
935	4080	279
936	4083	274
937	4086	270
938	4089	265
939	4093	261
940	4096	256
941	4099	252
942	4102	247
943	4105	243
944	4108	239
945	4111	234
946	4115	230
947	4118	225
948	4121	221
949	4124	217
950	4127	212
951	4132	208
952	4136	203
953	4138	199
954	4141	195
955	4145	190
956	4149	186
957	4152	182
958	4155	177
959	4158	173
960	4162	168
961	4165	164
962	4168	160
963	4173	155
964	4177	151
965	4180	147
966	4182	142
967	4186	138
968	4189	134
969	4192	129
970	4195	125
971	4198	120
972	4200	116
973	4204	112
974	4206	107
975	4210	103
976	4213	99
977	4216	94
978	4219	90
979	4222	86
980	4225	81
981	4228	77
982	4231	73
983	4233	68
984	4236	64
985	4239	60
986	4242	55
987	4245	51
988	4248	47
989	4251	42
990	4254	38
991	4257	34
992	4260	30
993	4263	25
994	4266	21
995	4270	17
996	4273	12
997	4276	8
998	4279	4
999	4282	0
